Target,Uniprot,Multiplicity
Q96KQ7_5ttf,Q96KQ7,2
Q9Y6E0_4qmu,Q9Y6E0,1
P33981_5o91,P33981,1
Q9UM73_5iui,Q9UM73,1
P05132_1re8,P05132,1
O14965_4byi,O14965,3
P25098_5ukl,P25098,1
P14735_4re9,P14735,2
P95468_2ay9,P95468,3
Q8I0P1_6p11,Q8I0P1,1
Q8N6T7_5mf6,Q8N6T7,1
P07900_2yi0,P07900,1
Q9H2K2_5nwc,Q9H2K2,2
P0A6I6_6chp,P0A6I6,1
P21146_5he0,P21146,1
Q9GK12_3nw3,Q9GK12,1
P0AE18_2evc,P0AE18,1
P00749_5za9,P00749,3
O92972_4jjs,O92972,3
P48736_4ps3,P48736,1
Q99814_4ghi,Q99814,1
P00489_1gpy,P00489,1
P00918_2pou,P00918,3
P28523_2pvk,P28523,1
O74718_1r5n,O74718,1
P19491_3bfu,P19491,2
P0C6U8_3sn8,P0C6U8,1
P45452_4a7b,P45452,1
P00742_1lpg,P00742,2
Q04760_1qin,Q04760,3
Q5RZ08_6cdl,Q5RZ08,1
P41148_2o1v,P41148,1
Q04609_4oc4,Q04609,5
Q7LIJ0_1z3t,Q7LIJ0,1
Q16539_3heg,Q16539,4
P27487_5kby,P27487,11
P00730_2ctc,P00730,1
Q08638_2j7g,Q08638,1
P56817_4zpf,P56817,3
Q43088_2h21,Q43088,1
Q9Y5Y6_6n4t,Q9Y5Y6,1
A5H660_6hth,A5H660,3
P15917_4pku,P15917,1
Q8TF76_5htb,Q8TF76,2
C9ZP98_5fsx,C9ZP98,1
Q9Y233_4mrz,Q9Y233,1
Q9UHD2_6cq5,Q9UHD2,1
Q9UIF8_5mgg,Q9UIF8,1
B8ZYW1_4ozl,B8ZYW1,1
P00520_1iep,P00520,2
O60760_5ais,O60760,1
O85465_5a3h,O85465,1
P62508_5yso,P62508,1
P04058_1h23,P04058,8
P00918_5o07,P00918,3
P55201_5ov8,P55201,1
P00749_1vj9,P00749,2
P35247_2rib,P35247,1
Q8WSF8_5o87,Q8WSF8,6
Q83883_5t6g,Q83883,1
P00918_5sz4,P00918,3
P24941_2btr,P24941,2
Q9WMX2_5tri,Q9WMX2,2
P56817_3cid,P56817,3
P56817_4wy6,P56817,3
P00918_4r5a,P00918,3
Q8I3X4_1nw4,Q8I3X4,2
P18031_2hb1,P18031,11
P00489_4mra,P00489,4
P24735_4nk3,P24735,1
O00408_6b96,O00408,1
P07900_4cws,P07900,1
O38732_2i0d,O38732,1
P08581_3zxz,P08581,1
P00730_1cps,P00730,1
P11309_5dia,P11309,1
Q14680_4umt,Q14680,1
P14555_1kvo,P14555,1
O14733_5z1d,O14733,1
Q16539_4ehv,Q16539,4
P24941_4cfv,P24941,3
P41148_6aol,P41148,1
P04584_1jld,P04584,1
Q24451_3ejt,Q24451,2
Q13153_4zji,Q13153,1
Q16539_5mz3,Q16539,4
C3W5S0_5w3i,C3W5S0,2
P33981_2x9e,P33981,1
O00408_6b98,O00408,1
P53779_2o2u,P53779,1
O14757_2c3k,O14757,2
Q9H9B1_5tuz,Q9H9B1,2
P49773_5i2e,P49773,3
P24941_2bkz,P24941,3
P20701_3m6f,P20701,6
O60674_5tq6,O60674,2
P03372_4mgd,P03372,1
P07900_3r91,P07900,1
C7C422_6d1a,C7C422,1
Q9F663_6d18,Q9F663,3
P25774_2hhn,P25774,1
Q96RI1_5q0x,Q96RI1,1
P00533_2itt,P00533,1
A9XG43_5dp5,A9XG43,1
P22629_1swr,P22629,2
Q24451_3dx0,Q24451,2
P05050_4jht,P05050,1
P49137_3r2y,P49137,2
P07900_6olx,P07900,1
P9WNP1_5duc,P9WNP1,1
P43405_3srv,P43405,1
O14965_2xru,O14965,3
P07900_4w7t,P07900,1
P26281_5etk,P26281,1
P36897_1vjy,P36897,1
P56817_2ohl,P56817,3
P00742_2vwn,P00742,2
O95819_4obo,O95819,2
P19491_6q54,P19491,2
Q9UZ14_3pd2,Q9UZ14,2
P00918_2h15,P00918,3
Q90K99_3o99,Q90K99,1
P24941_4cfw,P24941,3
I6YFP0_4xu0,I6YFP0,1
P15207_2ihq,P15207,1
P00489_3t3i,P00489,4
Q9WUL7_1fzq,Q9WUL7,1
P11362_4rwl,P11362,1
P15917_4pkt,P15917,1
O00408_5u7k,O00408,1
P26663_3bsc,P26663,3
C7C422_6mdu,C7C422,1
B4EB35_4e8w,B4EB35,2
Q839Z1_4ggl,Q839Z1,1
O00255_4og4,O00255,3
P11172_2qcm,P11172,1
P00533_5cal,P00533,1
P36639_6f20,P36639,1
P53779_3fi2,P53779,1
P45983_2h96,P45983,2
C3W5S3_3ti5,C3W5S3,4
P16404_3n35,P16404,1
P05373_1w31,P05373,1
P37231_1i7i,P37231,2
P48039_6me3,P48039,1
P00760_2zfs,P00760,2
O14965_2xne,O14965,3
O14757_2e9o,O14757,2
Q9XZT6_2vpp,Q9XZT6,1
P11609_5tw5,P11609,3
Q07010_5k51,Q07010,1
P52732_2fme,P52732,3
P27487_3c43,P27487,11
P15379_4np3,P15379,1
P03367_1m0b,P03367,2
Q0ED31_4dkr,Q0ED31,14
P08581_3u6h,P08581,1
P04058_1gpn,P04058,8
O43570_4qjo,O43570,1
P43912_3axz,P43912,1
O15294_6ma4,O15294,4
P00918_3s77,P00918,9
P47228_1kmy,P47228,1
O14757_2brb,O14757,2
O14757_2wmx,O14757,2
P00918_5u0e,P00918,3
A5H660_4cqf,A5H660,3
P31947_4dhu,P31947,4
P00800_1qf0,P00800,12
P27487_2onc,P27487,10
P45452_1xuc,P45452,1
P36639_6f22,P36639,1
Q00944_6gcx,Q00944,1
P00918_2nng,P00918,3
P08581_3i5n,P08581,1
P00749_5zc5,P00749,3
P53355_5auw,P53355,1
P9WPQ5_6e05,P9WPQ5,2
O92972_3ska,O92972,3
P35963_1t7j,P35963,1
P61964_6pg8,P61964,2
P00797_2v13,P00797,2
O60885_3mxf,O60885,1
P51531_6haz,P51531,1
P24941_1di8,P24941,2
P03369_1b6m,P03369,1
P03372_1xqc,P03372,1
Q9NWZ3_5uiq,Q9NWZ3,2
P62330_4kax,P62330,1
P54760_2x9f,P54760,1
P42336_5uk8,P42336,7
P09960_4l2l,P09960,1
A5K8L9_5yg2,A5K8L9,3
Q96PN6_4usw,Q96PN6,1
Q9UIF8_5l97,Q9UIF8,1
P00800_1zdp,P00800,12
P11362_4f63,P11362,1
O14965_5os3,O14965,3
Q8Y8D7_2i2b,Q8Y8D7,1
P24941_2vu3,P24941,3
P13497_6bto,P13497,1
P26663_4eo6,P26663,3
P23946_2hvx,P23946,1
Q000H7_4l1a,Q000H7,1
P0A6I6_6ckw,P0A6I6,1
P03367_1sdv,P03367,2
P0AD64_4gd6,P0AD64,2
A9JQL9_2zcs,A9JQL9,1
P00797_4gj7,P00797,3
Q9NRK6_4ayw,Q9NRK6,3
P28720_1q65,P28720,3
P02766_3ipb,P02766,1
Q9R117_4e1z,Q9R117,1
P04637_5o1e,P04637,10
O96017_4bdc,O96017,1
A5K1A2_4b14,A5K1A2,1
P00918_3sap,P00918,3
Q16790_5fl6,Q16790,1
Q9H8M2_5i7x,Q9H8M2,1
B5II98_6mmc,B5II98,1
Q06187_4rfy,Q06187,2
Q9WZY5_3bex,Q9WZY5,2
P45452_4l19,P45452,1
P07900_3rlp,P07900,1
P02766_3ipe,P02766,1
O43451_3l4z,O43451,1
Q07343_1xot,Q07343,1
P52333_4qt1,P52333,2
P00742_2y7x,P00742,2
P24941_2vtt,P24941,3
P11589_2nnd,P11589,1
P00918_4q99,P00918,3
P08235_4udb,P08235,1
P25774_1npz,P25774,1
P04035_2r4f,P04035,3
Q9UM73_4anq,Q9UM73,1
Q16539_2yix,Q16539,4
O43570_6g7a,O43570,1
P0A786_2fzk,P0A786,1
Q8IEW2_5l8a,Q8IEW2,2
P49137_3fyk,P49137,2
A5K8L9_4tmr,A5K8L9,3
Q13822_4zg9,Q13822,1
P46925_4cku,P46925,1
P00749_1owk,P00749,3
P48736_5g2n,P48736,1
O14757_5oq7,O14757,2
P00436_1ykp,P00436,3
P00968_1bxr,P00968,3
B1MDI3_6qr3,B1MDI3,2
Q9UDY8_6f7i,Q9UDY8,2
Q5SJ64_3au6,Q5SJ64,1
P56817_6uvv,P56817,3
P18031_1qxk,P18031,11
P28523_3fl5,P28523,1
P0A6D3_2aa9,P0A6D3,1
O60760_4edz,O60760,1
O60674_2w1i,O60674,2
P00800_3fcq,P00800,12
Q46085_5o7e,Q46085,1
P24941_4bgh,P24941,2
P00489_3np7,P00489,4
Q07820_6qyp,Q07820,1
P28482_5bvf,P28482,4
P0ABF6_1ctu,P0ABF6,1
P11309_4alv,P11309,1
P43889_4kpx,P43889,1
P53582_4iku,P53582,1
P00918_6e92,P00918,3
Q9H2K2_4hl5,Q9H2K2,2
Q07343_1y2h,Q07343,1
Q00987_6ggn,Q00987,2
Q08499_1y2b,Q08499,3
Q9NRG4_4ynd,Q9NRG4,1
P07900_5nyh,P07900,1
O00255_5dda,O00255,3
P11309_2o64,P11309,1
P00918_6g6t,P00918,3
P07900_6ei5,P07900,1
S4UY05_6nzv,S4UY05,1
P23458_6n7a,P23458,1
P47811_1yw2,P47811,4
Q8WQX9_5l8c,Q8WQX9,1
P56817_4ewo,P56817,3
Q8PWY1_6aaq,Q8PWY1,1
P19491_1ftm,P19491,2
Q96RI1_5q0r,Q96RI1,1
P61823_3d6q,P61823,1
Q9H9B1_3mo0,Q9H9B1,2
P49773_5km1,P49773,2
Q9QYJ6_2o8h,Q9QYJ6,1
Q92793_5ktu,Q92793,2
P28720_1q4w,P28720,3
O15382_5i5x,O15382,2
P34913_5am4,P34913,1
P00918_3hkq,P00918,3
Q24451_2f7p,Q24451,2
Q56310_6mi6,Q56310,1
P41148_6d28,P41148,1
P22102_5j9f,P22102,1
P56817_4dh6,P56817,3
A4TVL0_6r1c,A4TVL0,1
Q9H7B4_5ccl,Q9H7B4,1
Q6GJI9_4qg7,Q6GJI9,1
Q04609_4p45,Q04609,5
Q9UIF8_5l96,Q9UIF8,1
P18031_1t4j,P18031,11
P27915_5ehg,P27915,1
O86151_6eji,O86151,1
Q9AMP1_3as1,Q9AMP1,1
P24941_2vv9,P24941,2
P02768_1hk2,P02768,8
Q9BYW2_4fmu,Q9BYW2,1
O38732_2qi1,O38732,1
C8BD48_5kr0,C8BD48,1
P56817_5htz,P56817,3
O76074_3tge,O76074,2
O14757_2ym6,O14757,2
P25098_5wg5,P25098,1
P15056_3psd,P15056,2
Q89ZI2_5mi5,Q89ZI2,1
P0AAI5_3ho9,P0AAI5,1
Q92793_5w0f,Q92793,2
Q9K2N0_4c1e,Q9K2N0,2
P00797_3q3t,P00797,2
P25098_6c2y,P25098,1
P0ACB2_1l6s,P0ACB2,1
Q9H2K2_4l2k,Q9H2K2,2
P98170_5c7a,P98170,2
O38732_2qi4,O38732,1
Q58EU8_1yei,Q58EU8,1
Q9K2N0_5n4s,Q9K2N0,2
P00915_6f3b,P00915,1
Q4DA54_4yrc,Q4DA54,1
P16088_5fiv,P16088,1
P07900_3rkz,P07900,1
P37231_3adt,P37231,2
O49686_5ur5,O49686,1
Q08638_2j7b,Q08638,1
P56817_4xkx,P56817,3
P01868_2dbl,P01868,1
P00918_6oe0,P00918,3
P61964_6e1z,P61964,2
Q9STC1_4amw,Q9STC1,1
Q2XVP4_5xiw,Q2XVP4,6
P37231_3adu,P37231,2
P15056_5fd2,P15056,2
O95271_4dvi,O95271,2
P00742_2y80,P00742,2
Q13451_4dro,Q13451,1
P08799_2y8i,P08799,3
P14780_2ovz,P14780,1
O14757_5opu,O14757,2
P13995_6jid,P13995,1
Q05127_4ibj,Q05127,1
P31749_6s9w,P31749,2
P45452_5uwl,P45452,1
P19793_6jno,P19793,2
P00742_2q1j,P00742,2
P35963_1k6v,P35963,1
P11309_3r00,P11309,1
P07900_2yjx,P07900,1
P04789_2v2h,P04789,1
P39900_1rmz,P39900,1
P14324_5djr,P14324,3
Q96RI1_5q0s,Q96RI1,1
Q13464_3d9v,Q13464,2
Q873Y0_2xuc,Q873Y0,1
P47205_5drr,P47205,2
P07900_3b28,P07900,1
P09874_1uk0,P09874,1
P33981_3h9f,P33981,1
Q9Y6E0_4qmp,Q9Y6E0,1
P24941_3ezr,P24941,2
P20591_4p4s,P20591,1
Q9UBN7_6ce6,Q9UBN7,1
P00730_1hee,P00730,1
Q9Y5Z0_3zki,Q9Y5Z0,1
O60885_5uez,O60885,1
O00625_6n0j,O00625,1
P04642_4ajn,P04642,1
P00742_1lpz,P00742,2
P56817_3k5f,P56817,3
P00533_4rj8,P00533,1
P56817_4d85,P56817,3
Q14397_4op3,Q14397,1
Q8N1Q1_4qiz,Q8N1Q1,1
G3G192_6qw8,G3G192,1
P56817_3ivh,P56817,3
P42336_6gvh,P42336,7
P17707_3dz4,P17707,1
O14757_4rvm,O14757,2
Q15119_4mpc,Q15119,3
P31345_4ncm,P31345,2
Q8Q3H0_2cej,Q8Q3H0,1
P00720_1li2,P00720,1
Q8DQ18_4aaw,Q8DQ18,1
Q8I0P1_6p12,Q8I0P1,1
P03437_1hge,P03437,10
P56658_1ndw,P56658,1
P00374_3eig,P00374,1
P48730_5ih5,P48730,2
P04058_6g1v,P04058,8
Q07820_6ovc,Q07820,1
P49841_4ptg,P49841,2
P29375_5ive,P29375,1
O60674_3zmm,O60674,2
O75460_6hv0,O75460,1
P00918_6oe1,P00918,3
G8G134_5kv9,G8G134,3
O26232_3wjw,O26232,1
P28720_1r5y,P28720,3
P36639_6eq5,P36639,1
Q9NP87_6ipm,Q9NP87,1
Q9L5C8_4dds,Q9L5C8,1
P48039_6me5,P48039,1
Q9UM73_4dce,Q9UM73,1
P28523_2pvj,P28523,1
P13569_4wz6,P13569,1
P03367_1hpo,P03367,1
Q9UM73_5aa9,Q9UM73,1
Q89ZI2_2w67,Q89ZI2,1
P39900_5i2z,P39900,1
O60674_4aqc,O60674,2
Q9NTG7_4jt9,Q9NTG7,1
P50750_4bch,P50750,1
Q13093_5lz9,Q13093,1
P29375_6bgv,P29375,1
Q9NP87_6aeh,Q9NP87,1
O96017_2xm8,O96017,1
P07379_2rk8,P07379,1
A8DG50_6cvw,A8DG50,1
Q04609_2jbj,Q04609,5
P00669_3djx,P00669,2
P00918_6h2z,P00918,3
P00918_6e8x,P00918,3
P36639_6eq6,P36639,1
P21836_5dtj,P21836,1
P18031_2nt7,P18031,11
P24941_2vtn,P24941,3
P61964_6e23,P61964,2
P07900_2wi1,P07900,1
Q8TF76_6g3a,Q8TF76,1
P62937_6gjy,P62937,3
P25779_3hd3,P25779,1
P00489_3g2h,P00489,4
Q8WTS6_4jlg,Q8WTS6,1
Q9E7M1_3slz,Q9E7M1,1
P00918_4qiy,P00918,3
P08709_4jyv,P08709,1
Q4KMI8_3dbd,Q4KMI8,1
P00918_3dcc,P00918,3
P01116_6gj8,P01116,1
P56817_4j0y,P56817,3
P0A884_2kce,P0A884,1
Q9H2K2_5zqq,Q9H2K2,2
P33981_4d2s,P33981,1
P24941_1pxi,P24941,2
P07900_4xir,P07900,1
O14965_5aad,O14965,3
P56817_2qmg,P56817,3
P31749_3cqw,P31749,2
P29274_5wf6,P29274,5
P31749_6hhh,P31749,2
P04637_5o1f,P04637,10
P04642_4aj4,P04642,1
P00730_3fx6,P00730,1
P00918_3bl1,P00918,3
P00929_1tjp,P00929,1
P00720_4i7l,P00720,1
P56817_4fm7,P56817,3
Q72J47_1uj6,Q72J47,1
P16088_4fiv,P16088,1
P33981_5n93,P33981,1
P07900_1uy7,P07900,1
Q8KLK7_2np9,Q8KLK7,1
Q04631_1s64,Q04631,1
P55201_5o5a,P55201,1
Q7SIB7_1vjd,Q7SIB7,1
P30803_1tl7,P30803,3
P30405_4j5c,P30405,2
P48736_4ezl,P48736,1
P11309_4n70,P11309,1
Q38CA1_6mxb,Q38CA1,1
P00520_2z60,P00520,2
P61823_1u1b,P61823,1
O75874_6bkx,O75874,2
W7JP72_5zh2,W7JP72,1
Q04631_3pz4,Q04631,1
P0A988_4n98,P0A988,1
Q9H2K2_4ui7,Q9H2K2,2
Q8N1Q1_5lla,Q8N1Q1,1
P17612_4ujb,P17612,1
P56817_4ke1,P56817,3
P21836_6fsd,P21836,1
P56817_2ohk,P56817,3
P24941_4eok,P24941,3
J9U5U9_6ap6,J9U5U9,1
P46925_2igy,P46925,1
O60885_3p5o,O60885,1
P14324_3n5j,P14324,3
P61823_3d8y,P61823,1
Q9NZK7_5wzu,Q9NZK7,1
P47205_6mo4,P47205,2
Q92731_2i0g,Q92731,2
Q8IDJ8_6hcv,Q8IDJ8,1
P42574_1re1,P42574,1
P21836_2ha3,P21836,4
P00749_1sqo,P00749,2
Q13093_5ye9,Q13093,1
P09874_6nrh,P09874,1
Q90K99_3o9c,Q90K99,1
O60760_3vi5,O60760,2
Q92793_5i86,Q92793,2
P15056_5csx,P15056,2
O96017_2wtd,O96017,1
O60674_4d1s,O60674,2
P21802_3b2t,P21802,1
O75164_5anq,O75164,2
P09955_2pjc,P09955,1
P58154_3wth,P58154,5
P00520_2qoh,P00520,2
P04584_5upj,P04584,1
O75164_5f2w,O75164,2
P56817_4l7h,P56817,3
P0C6X7_3r24,P0C6X7,1
Q92769_5ix0,Q92769,3
P03366_1w5v,P03366,1
Q92N37_2reg,Q92N37,1
P00760_1qb1,P00760,2
P25440_6moa,P25440,2
P49841_6hk3,P49841,2
P33981_5ap1,P33981,1
Q9H7B4_6ijl,Q9H7B4,1
B5II98_6ntb,B5II98,3
P33038_3v4t,P33038,4
P00533_3w2q,P00533,1
P0DMV8_6fhk,P0DMV8,2
P78417_6pno,P78417,1
O95271_4mt9,O95271,2
Q8T6J6_3bar,Q8T6J6,2
Q9TVW2_1dgm,Q9TVW2,1
P24941_3eid,P24941,3
A9XG43_5dp9,A9XG43,1
P28482_6g91,P28482,4
P00747_5ugd,P00747,1
O24872_3qxh,O24872,1
Q13153_4p90,Q13153,1
P00918_2ez7,P00918,3
Q02750_3v04,Q02750,1
P00489_3t3d,P00489,4
P00797_5sy3,P00797,3
P54760_2vwx,P54760,1
Q9H2K2_4l0v,Q9H2K2,2
Q70I53_2gh6,Q70I53,2
P41182_5mw6,P41182,4
P22102_4zz0,P22102,1
Q13464_4yvc,Q13464,2
P00918_3m67,P00918,3
Q08499_1xom,Q08499,3
P00760_2zq2,P00760,2
O60885_5i80,O60885,1
O60885_4z1s,O60885,1
P00953_1maw,P00953,1
A4TVL0_6r1k,A4TVL0,1
O13833_4nkt,O13833,1
Q8NNK8_3oka,Q8NNK8,1
Q14289_3et7,Q14289,1
P41182_5x9p,P41182,3
Q9H2K2_4kzu,Q9H2K2,2
Q460N5_3vfq,Q460N5,1
P09955_2piy,P09955,1
Q9K2N0_6hf5,Q9K2N0,2
Q9Y233_3wi2,Q9Y233,1
P11838_1eed,P11838,5
P04587_2f80,P04587,1
Q00987_4zgk,Q00987,2
P55201_5t4v,P55201,1
P15056_4ehg,P15056,2
Q05127_4ibb,Q05127,1
Q92793_5tb6,Q92793,2
Q5RZ08_6dj1,Q5RZ08,1
P00772_1ela,P00772,1
P24941_3qtu,P24941,2
P0A9M2_1g9s,P0A9M2,2
P24941_3ddp,P24941,3
P55212_4nbk,P55212,1
P17931_4jck,P17931,1
Q9Y3R4_1vcu,Q9Y3R4,3
P33981_6n6o,P33981,1
P09874_3gn7,P09874,1
P09960_3ftz,P09960,1
P14174_3l5r,P14174,2
P00742_4bti,P00742,2
P08235_2aa6,P08235,1
P56273_4j7d,P56273,1
P08246_3q77,P08246,4
P00918_4cq0,P00918,3
Q8IDJ8_6hcu,Q8IDJ8,1
Q9HBH9_6cki,Q9HBH9,1
P04058_1eve,P04058,8
P07900_2vcj,P07900,1
Q9UBN7_5kh3,Q9UBN7,1
P56658_1ndz,P56658,1
P08716_3b5j,P08716,1
P53582_4fli,P53582,1
G8G134_5kv8,G8G134,1
P08661_1rdi,P08661,1
P51955_5m53,P51955,1
P0ABF6_1af2,P0ABF6,1
O14757_5oq5,O14757,2
P00797_1bim,P00797,2
P56817_2q11,P56817,3
P80457_3nrz,P80457,2
P00918_1g45,P00918,3
P29724_2fqw,P29724,1
P24941_6q4e,P24941,3
P08246_5a09,P08246,4
P61823_4g8v,P61823,1
P9WPQ5_6czd,P9WPQ5,2
Q9H2K2_5nvc,Q9H2K2,2
Q96RI1_5q13,Q96RI1,1
Q13126_6dz2,Q13126,2
Q8WSF8_3c79,Q8WSF8,2
Q86W56_4b1j,Q86W56,1
Q9UM73_5fto,Q9UM73,1
Q99AU2_2qe5,Q99AU2,2
P19491_1nnk,P19491,2
O60674_4d0x,O60674,2
P62508_6i67,P62508,1
Q16539_1w83,Q16539,4
P00323_1c7f,P00323,4
P16442_3v0p,P16442,1
Q04631_1n9a,Q04631,1
O60674_4f08,O60674,2
P56817_3cib,P56817,3
Q9H2K2_4pnm,Q9H2K2,2
P58154_3u8k,P58154,3
P00533_5ugc,P00533,1
Q9GZZ9_6h77,Q9GZZ9,2
P49773_5kly,P49773,2
Q96RI1_4oiv,Q96RI1,1
Q9Y233_4ys7,Q9Y233,1
Q02750_3e8n,Q02750,1
O38732_2q54,O38732,1
Q6PL18_6hdo,Q6PL18,5
P24941_4gcj,P24941,3
P09955_2pj1,P09955,1
Q16539_1di9,Q16539,4
O00408_5xkm,O00408,1
P54760_2vx0,P54760,1
Q7LIJ0_1z3v,Q7LIJ0,1
P53779_4w4v,P53779,1
P03314_3evd,P03314,2
Q16539_3hp2,Q16539,4
Q8WQX9_5g5v,Q8WQX9,1
P56817_3udr,P56817,3
P18031_1nz7,P18031,11
P49841_4afj,P49841,2
P60709_6ox0,P60709,1
P19491_4u4s,P19491,2
P00918_4z1j,P00918,3
P00797_4ryg,P00797,3
P48730_4kb8,P48730,2
P21836_4b80,P21836,4
P21836_4arb,P21836,4
Q9X1T1_5o4z,Q9X1T1,1
Q8IKG4_5jmp,Q8IKG4,1
P9WKE1_5nq5,P9WKE1,1
P9WNP1_5du4,P9WNP1,1
P05089_3mfw,P05089,1
P50579_6qed,P50579,1
A5K1A2_2yne,A5K1A2,1
Q96RI1_5q16,Q96RI1,1
Q7SSI0_3s54,Q7SSI0,2
P01116_6fa2,P01116,1
P28482_6g93,P28482,4
P03366_3nu5,P03366,1
Q9BY41_3sff,Q9BY41,2
P39086_3fvg,P39086,1
P09955_2pja,P09955,1
P24941_6gue,P24941,3
P00918_3rz8,P00918,3
P00918_4q09,P00918,3
P00800_5m9w,P00800,12
Q00972_4h85,Q00972,3
P48736_3l16,P48736,1
G7CNL4_6d4u,G7CNL4,1
O32243_3ppq,O32243,1
P15056_3ii5,P15056,2
Q07343_3g45,Q07343,1
Q8TEK3_5dtq,Q8TEK3,1
P00918_3r17,P00918,3
Q13627_4mq2,Q13627,3
P28482_4qp8,P28482,4
P00797_3q4b,P00797,3
Q16539_6ohd,Q16539,4
P11021_5f2r,P11021,1
P00918_2wd3,P00918,3
B8ZYW1_4ozj,B8ZYW1,1
Q00944_6gcr,Q00944,1
Q8Q3H0_4a6c,Q8Q3H0,1
Q75I93_4qlk,Q75I93,1
Q05397_4ebv,Q05397,1
P00918_3t5u,P00918,3
P56817_4d83,P56817,3
A7YT55_6csr,A7YT55,1
O00255_4og3,O00255,3
Q5SLD7_6jb0,Q5SLD7,1
P37231_5u5l,P37231,2
P08246_5a8z,P08246,4
Q8I4S1_2yof,Q8I4S1,1
O00329_6g6w,O00329,1
P24941_3rk7,P24941,2
P00517_2uw5,P00517,1
Q14289_5tob,Q14289,1
P11309_3jpv,P11309,1
P00519_4yc8,P00519,5
O75164_3pdq,O75164,2
P07900_5lo6,P07900,1
P14735_4ifh,P14735,2
P24941_2r3p,P24941,2
P61964_6u80,P61964,2
A8GFD6_6hm1,A8GFD6,1
P0AEG4_6pvy,P0AEG4,2
P36897_2wot,P36897,1
C7BLE4_6f5w,C7BLE4,1
O53512_2ypp,O53512,2
P08254_1b8y,P08254,1
Q8WZA1_5ggj,Q8WZA1,1
P37231_3u9q,P37231,2
P00436_4whr,P00436,3
Q13464_2etk,Q13464,2
Q9X1X7_6i0p,Q9X1X7,1
P00517_3zo4,P00517,1
P53779_3cgo,P53779,1
A2IC68_4av4,A2IC68,1
